amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,final_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.46,20.360678307711865,34.16270308330907,30.42732211074228,1.0682238272314735,1.6088160445087478,0.2698375144191807,0.023683558075848623,-11.265729075028275,2023-07-11,2023-10-20,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.36,29.604659337893647,31.517892672156343,33.45958827818125,0.8832556184698839,1.3361286642757395,0.2926358334175106,0.000549004250631712,-18.188513572116292,2024-10-24,2025-01-23,90.0,92.5,95.0,65.0,40.0,82.875,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.45,26.657081760850154,29.691887767928172,30.39461719279344,0.965560651744012,1.4912612450422562,0.27330465038306057,-0.02282956979242654,-12.97396816518679,2022-03-07,2022-04-13,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,1.38,53.23239623092084,32.44689799394218,30.542236377825116,0.8082678003905593,1.207163296240015,0.2719535450128533,0.0051035258305283104,-16.217208574644847,2022-03-11,2022-05-12,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,0.8,13.064279264417976,33.14477418812227,23.635060111104124,0.7146822636441237,1.0723398106725688,0.2119482701352573,0.016232169761417007,-12.588275606922517,2022-10-04,2023-05-30,95.0,75.0,70.0,72.5,72.5,79.375,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,22.261065131342207,35.33436574912896,28.3394029726723,0.7305467735561728,1.1016573413694901,0.2607666908004223,-0.06626542862803757,-20.960883862039193,2022-04-14,2022-08-11,100.0,80.0,80.0,60.0,32.5,78.25,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.54,60.43734071403091,30.348209143813353,25.842778201735307,0.8609773262277757,1.3126560267544425,0.23201007160635082,-0.03175144113890972,-15.012385498645331,2023-08-24,2024-02-05,87.5,90.0,77.5,26.25,60.0,74.1875,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.6,39.75176148971702,28.392401896554876,31.722135539074657,0.9190465356358284,1.3970204175029592,0.2827036785246582,0.018133884083859245,-16.39674294693263,2023-08-10,2023-10-20,80.0,95.0,92.5,11.25,50.0,72.9375,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.6,47.92412023860102,28.669133034127125,23.52224445905451,0.7174089959890172,1.0802639063120396,0.21399784776051212,0.02108631625012803,-11.291596329323072,2023-04-24,2023-07-05,82.5,77.5,72.5,11.25,80.0,68.3125,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.43,82.77605861507405,26.070491207565148,32.894605773800414,0.7116901743847246,1.0682054572673187,0.3033696538698332,-0.023196062044059693,-28.706005721764548,2024-08-28,2025-05-14,72.5,70.0,100.0,50.0,12.5,68.0,10
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.52,65.13871892998797,26.931964862637315,32.628441876659366,0.7144216579881012,1.069173419906759,0.3005787817097677,0.011455159960520708,-31.171900300634213,2024-05-03,2025-01-03,77.5,72.5,97.5,36.25,10.0,67.3125,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.61,21.481222193726257,26.87970659799688,29.58780141394928,0.8328852279505965,1.2297913166595387,0.26598577542043045,-0.002523004664699247,-17.24810575345138,2022-06-06,2022-10-24,75.0,87.5,82.5,7.5,47.5,66.75,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.51,33.9810484550213,22.563239101294542,24.086306195259823,0.7588510310771439,1.1319064113423973,0.21829397904608644,-0.008353832126962021,-17.41407508665723,2024-01-02,2024-07-19,67.5,82.5,75.0,41.25,45.0,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.66,5.706100044974027,15.731340547715856,22.0507602674449,0.6482414723266908,0.9659754164592809,0.1986859936686296,-0.026159307513513405,-11.803493502764296,2024-05-21,2024-09-02,45.0,67.5,65.0,92.5,75.0,64.75,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,0.92,28.67535802656873,18.110271740927807,19.00360765866662,0.5062729716095956,0.7499765312033383,0.17729754927531766,0.04882040425957739,-15.200013055606398,2023-12-22,2025-01-01,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,0.72,25.539980483954096,21.245440307560017,16.67687441630381,0.38882884600017426,0.5832095221824417,0.15643835948169668,-0.03663900671860934,-18.62974313859551,2023-10-30,2024-02-29,65.0,50.0,47.5,88.75,37.5,58.5625,16
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,0.89,22.493224932249344,19.402919165489642,16.225768849698884,0.39318819691240564,0.5776689158862017,0.1513635464823924,-0.001433521389780133,-11.511457598975516,2022-04-13,2022-06-09,57.49999999999999,52.5,45.0,70.0,77.5,57.625,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.57,20.207703983094838,19.644846512354807,17.947628890539292,0.519797145036178,0.7724208471952341,0.17048756803412696,-0.019486785689474526,-10.85986215250232,2022-02-03,2022-03-29,60.0,62.5,55.00000000000001,17.5,85.0,55.75,18
